article_id,title,source,publish_time,url,data_quality,decision,relevance_score,priority_score,importance_score,confidence,category,relation_level,relation_paths,heat_score,heat_tier,heat_basis,heat_confidence,article_metrics,core_summary,reason,matched_terms,excluded_terms,action_items,analysis_mode
2382,AI短剧没人信了，导演们都挤在机房做AI中剧,投资界,2026-07-21 09:26,https://news.pedaily.cn/202607/566605.shtml,full_text,relevant,85,88,93,high,policy,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 47.6, ""matched_terms"": [""AI"", ""AIGC"", ""大模型""]}, {""id"": ""growth_channels"", ""label"": ""获客与增长渠道"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的低成本获客、销售渠道与市场扩张能力"", ""score"": 8.0, ""matched_terms"": [""流量"", ""短视频""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 6.0, ""matched_terms"": [""创业""]}]",94,high,article_metrics,medium,"{""views"": 500000000}","AI短剧没人信了，导演们都挤在机房做AI中剧,近几个月国产AI视频生成模型迭代，创作边界向中长剧拓展。6月起多部AI中剧上线，制作难度高、成本把控难、拟真人剧尴尬，行业尚在摸索。",OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、AIGC、大模型）；获客与增长渠道：影响一人公司的低成本获客、销售渠道与市场扩张能力（命中 流量、短视频）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业）,"[""AI"", ""AIGC"", ""创业"", ""大模型"", ""流量"", ""短视频""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
2089,一张脸最高百万元，单话题播放超43亿，揭秘AI卖脸生意,投资界,2026-07-20 17:07,https://news.pedaily.cn/202607/566586.shtml,full_text,relevant,85,88,88,high,case_study,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 40.6, ""matched_terms"": [""AI"", ""AIGC""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 6.0, ""matched_terms"": [""创业""]}, {""id"": ""growth_channels"", ""label"": ""获客与增长渠道"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的低成本获客、销售渠道与市场扩张能力"", ""score"": 4.0, ""matched_terms"": [""流量""]}]",94,high,article_metrics,medium,"{""views"": 67280000}","一张脸最高百万元，单话题播放超43亿，揭秘AI卖脸生意,AI盗脸曾引担忧，如今不少人主动参与。“陈泽二创大赛”等话题播放量超60亿，明星网红素人纷纷出演，真人出演AI剧利弊待察。",OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、AIGC）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业）；获客与增长渠道：影响一人公司的低成本获客、销售渠道与市场扩张能力（命中 流量）,"[""AI"", ""AIGC"", ""创业"", ""流量""]",[],[],rules
2306,WAIC 2026终极盘点：15大核心趋势，看透AI下半场,36氪,2026年07月21日 07:48,https://36kr.com/p/3904188372485763,full_text,relevant,85,74,79,high,policy_interpretation,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 81.4, ""matched_terms"": [""AI"", ""OpenAI"", ""云服务"", ""人工智能"", ""大模型"", ""智能体"", ""自动化""]}, {""id"": ""growth_channels"", ""label"": ""获客与增长渠道"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的低成本获客、销售渠道与市场扩张能力"", ""score"": 18.0, ""matched_terms"": [""广告投放"", ""电商"", ""营销""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 13.0, ""matched_terms"": [""创业"", ""创业者""]}, {""id"": ""policy_compliance"", ""label"": ""注册、税务与合规"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的注册门槛、税务成本、用工方式和合规风险"", ""score"": 6.0, ""matched_terms"": [""知识产权""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 3.0, ""matched_terms"": [""融资""]}]",48,medium,article_metrics,high,"{""likes"": 260, ""favorites"": 86, ""comments"": 2}",告别大模型参数比拼，迈向智能体商业化落地。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、OpenAI、云服务、人工智能、大模型、智能体、自动化）；获客与增长渠道：影响一人公司的低成本获客、销售渠道与市场扩张能力（命中 广告投放、电商、营销）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业、创业者）；注册、税务与合规：影响一人公司的注册门槛、税务成本、用工方式和合规风险（命中 知识产权）,"[""AI"", ""OpenAI"", ""云服务"", ""人工智能"", ""创业"", ""创业者"", ""大模型"", ""广告投放"", ""智能体"", ""电商"", ""知识产权"", ""自动化"", ""营销"", ""融资""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
2309,一个周末，AI黑掉了AI，这剧情太科幻了,36氪,2026年07月20日 15:37,https://36kr.com/p/3903638020196233,full_text,relevant,85,71,71,high,case_study,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 41.6, ""matched_terms"": [""AI"", ""智能体""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 13.0, ""matched_terms"": [""创业"", ""创业者""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 3.0, ""matched_terms"": [""融资""]}]",38,low,article_metrics,high,"{""likes"": 18, ""favorites"": 8}",自主AI入侵Hugging Face基础设施，AI攻防完成全程。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、智能体）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业、创业者）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）,"[""AI"", ""创业"", ""创业者"", ""智能体"", ""融资""]",[],[],rules
1909,21评论丨中国AI出海：开源之外还需重视产能,21世纪经济报道,2026-07-21 07:00,https://m.21jingji.com/article/20260721/6a47b3c85e351c73a540b27ca4deb5e4.html,full_text,relevant,85,71,71,high,case_study,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 48.8, ""matched_terms"": [""AI"", ""人工智能"", ""大模型""]}, {""id"": ""growth_channels"", ""label"": ""获客与增长渠道"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的低成本获客、销售渠道与市场扩张能力"", ""score"": 15.0, ""matched_terms"": [""出海""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 6.0, ""matched_terms"": [""中小企业""]}, {""id"": ""policy_compliance"", ""label"": ""注册、税务与合规"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的注册门槛、税务成本、用工方式和合规风险"", ""score"": 6.0, ""matched_terms"": [""知识产权""]}]",38,low,article_metrics,medium,"{""comments"": 21}",特约评论员 顾经纬近日，2026世界人工智能大会暨人工智能全球治理高级别会议在上海召开。会上，国家发展改革委会同有关部门共同发布了《人工智能合作发展行动计划》（以下简称“行动计划”）和《中国智·惠世界（2026）》案例集，这意味着，中国在继续提升人工智能前沿能力的同时，正在更主动地参与相关的国际公共...,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、人工智能、大模型）；获客与增长渠道：影响一人公司的低成本获客、销售渠道与市场扩张能力（命中 出海）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 中小企业）；注册、税务与合规：影响一人公司的注册门槛、税务成本、用工方式和合规风险（命中 知识产权）,"[""AI"", ""中小企业"", ""人工智能"", ""出海"", ""大模型"", ""知识产权""]",[],[],rules
1485,端侧大模型成了刚需，芯片准备好了吗？,36氪,2026年07月19日 10:33,https://36kr.com/p/3901953321338500,full_text,relevant,85,71,76,high,policy,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 35.0, ""matched_terms"": [""AI"", ""大模型"", ""智能体""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 13.0, ""matched_terms"": [""创业"", ""创业者""]}, {""id"": ""productivity_tools"", ""label"": ""经营效率工具"", ""relation_level"": ""enabling"", ""opc_impact"": ""帮助单人经营者以工具替代部分团队职能，提高日常运营效率"", ""score"": 7.0, ""matched_terms"": [""生产力工具""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 3.0, ""matched_terms"": [""融资""]}]",38,low,article_metrics,high,"{""likes"": 79, ""favorites"": 27}",端边芯片的竞争，才刚开始。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、大模型、智能体）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业、创业者）；经营效率工具：帮助单人经营者以工具替代部分团队职能，提高日常运营效率（命中 生产力工具）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）,"[""AI"", ""创业"", ""创业者"", ""大模型"", ""智能体"", ""生产力工具"", ""融资""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
2180,瑞银发声：市场短期震荡后，继续看好科技和AI主线在时间和空间上，资金对科技板块的“抱团”仍有进一步提升的潜力。13分钟前,第一财经,2026-07-21 11:13:05,https://www.yicai.com/news/103285382.html,full_text,relevant,85,71,76,high,policy,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 33.4, ""matched_terms"": [""AI"", ""人工智能""]}, {""id"": ""growth_channels"", ""label"": ""获客与增长渠道"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的低成本获客、销售渠道与市场扩张能力"", ""score"": 5.0, ""matched_terms"": [""出海""]}, {""id"": ""policy_compliance"", ""label"": ""注册、税务与合规"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的注册门槛、税务成本、用工方式和合规风险"", ""score"": 3.0, ""matched_terms"": [""政策""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 3.0, ""matched_terms"": [""融资""]}]",37,low,article_metrics,high,"{""comments"": 9}",在时间和空间上，资金对科技板块的“抱团”仍有进一步提升的潜力。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、人工智能）；获客与增长渠道：影响一人公司的低成本获客、销售渠道与市场扩张能力（命中 出海）；注册、税务与合规：影响一人公司的注册门槛、税务成本、用工方式和合规风险（命中 政策）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）,"[""AI"", ""人工智能"", ""出海"", ""政策"", ""融资""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
1768,林伯强：AI赋能“沙戈荒”风电光伏基地︱能源思考AI对“沙戈荒”风光基地的开发模式和运行方式产生深刻影响。昨天 20:33,第一财经,2026-07-20 20:33:38,https://www.yicai.com/news/103283951.html,full_text,relevant,85,71,76,high,policy,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 47.6, ""matched_terms"": [""AI"", ""人工智能"", ""大模型""]}, {""id"": ""policy_compliance"", ""label"": ""注册、税务与合规"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的注册门槛、税务成本、用工方式和合规风险"", ""score"": 11.0, ""matched_terms"": [""政策"", ""税收优惠""]}]",37,low,article_metrics,high,"{""comments"": 8}",AI对“沙戈荒”风光基地的开发模式和运行方式产生深刻影响。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、人工智能、大模型）；注册、税务与合规：影响一人公司的注册门槛、税务成本、用工方式和合规风险（命中 政策、税收优惠）,"[""AI"", ""人工智能"", ""大模型"", ""政策"", ""税收优惠""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
1766,AI进化速递丨华东地区首个国产TPU智算千卡集群落成黑石集团同意投资韩国机器人供应商Futronic。昨天 20:41,第一财经,2026-07-20 20:41:35,https://www.yicai.com/news/103283970.html,full_text,relevant,85,71,71,high,case_study,core,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 40.4, ""matched_terms"": [""AI"", ""人工智能"", ""大模型""]}]",37,low,article_metrics,high,"{""comments"": 10}",黑石集团同意投资韩国机器人供应商Futronic。,直接命中 OPC 主题词：OPC；OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、人工智能、大模型）,"[""AI"", ""OPC"", ""人工智能"", ""大模型""]",[],[],rules
1782,走了近3万步！一线投资人，在这个AI大会“寻宝”,证券时报,2026-07-20 22:10,https://www.stcn.com/article/detail/4030787.html,full_text,relevant,87,70,70,high,case_study,core,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 40.4, ""matched_terms"": [""AI"", ""人工智能"", ""大模型""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 6.0, ""matched_terms"": [""初创""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 3.0, ""matched_terms"": [""融资""]}]",32,low,estimated,low,{},证券时报，证券时报网，由人民日报社主管主办，是证券市场权威信息披露媒体，也是中国资本市场的重要信息披露平台。提供全天候7*24小时财经证券类资讯，内容丰富，包括时报快讯、股市新闻、财经资讯、基金净值、债券、期货、上市公司公告等，为用户提供全方位、最新鲜的财经信息。,直接命中 OPC 主题词：OPC、一人公司；OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、人工智能、大模型）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 初创）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）；存在公司/创业/监管语境,"[""AI"", ""OPC"", ""一人公司"", ""人工智能"", ""公司"", ""初创"", ""大模型"", ""融资""]",[],[],rules
