article_id,title,source,publish_time,url,data_quality,decision,relevance_score,priority_score,importance_score,confidence,category,relation_level,relation_paths,heat_score,heat_tier,heat_basis,heat_confidence,article_metrics,core_summary,reason,matched_terms,excluded_terms,action_items,analysis_mode
1073,Atlas关停，AI浏览器没有未来了吗？,投资界,2026年8月9日,https://news.pedaily.cn/202607/566466.shtml,full_text,relevant,85,78,78,high,news,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 63.0, ""matched_terms"": [""AI"", ""AI搜索"", ""OpenAI"", ""智能体""]}, {""id"": ""growth_channels"", ""label"": ""获客与增长渠道"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的低成本获客、销售渠道与市场扩张能力"", ""score"": 10.0, ""matched_terms"": [""流量"", ""电商""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 6.0, ""matched_terms"": [""创业""]}]",62,medium,article_metrics,medium,"{""views"": 360}","Atlas关停，AI浏览器没有未来了吗？,OpenAI的AI浏览器Atlas将于2026年8月9日停止运行，其生命周期不到一年。虽被放弃，但探索的能力被保留，AI浏览器可能只是过渡阶段。",OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、AI搜索、OpenAI、智能体）；获客与增长渠道：影响一人公司的低成本获客、销售渠道与市场扩张能力（命中 流量、电商）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业）,"[""AI"", ""AI搜索"", ""OpenAI"", ""创业"", ""智能体"", ""流量"", ""电商""]",[],[],rules
974,中专生拍出破亿爆款，影视圈边缘人靠AI改命丨深氪lite,36氪,2026年07月16日 18:07,https://36kr.com/p/3898151587890824,full_text,relevant,85,74,74,high,case_study,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 47.6, ""matched_terms"": [""AI"", ""AIGC"", ""大模型""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 13.0, ""matched_terms"": [""创业"", ""创业者""]}, {""id"": ""growth_channels"", ""label"": ""获客与增长渠道"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的低成本获客、销售渠道与市场扩张能力"", ""score"": 4.0, ""matched_terms"": [""流量""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 3.0, ""matched_terms"": [""融资""]}]",47,medium,article_metrics,high,"{""likes"": 244, ""favorites"": 46, ""comments"": 1}",AI重塑了内容行业的权力关系与生产规则。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、AIGC、大模型）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业、创业者）；获客与增长渠道：影响一人公司的低成本获客、销售渠道与市场扩张能力（命中 流量）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）,"[""AI"", ""AIGC"", ""创业"", ""创业者"", ""大模型"", ""流量"", ""融资""]",[],[],rules
978,papi酱用AI制造了2026第一神曲,36氪,2026年07月17日 07:55,https://36kr.com/p/3898312693794689,full_text,relevant,85,73,73,high,case_study,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 26.4, ""matched_terms"": [""AI""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 13.0, ""matched_terms"": [""创业"", ""创业者""]}, {""id"": ""growth_channels"", ""label"": ""获客与增长渠道"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的低成本获客、销售渠道与市场扩张能力"", ""score"": 10.0, ""matched_terms"": [""短视频"", ""营销""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 3.0, ""matched_terms"": [""融资""]}]",44,low,article_metrics,high,"{""likes"": 91, ""favorites"": 17, ""comments"": 2}",全网都“生气”了。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业、创业者）；获客与增长渠道：影响一人公司的低成本获客、销售渠道与市场扩张能力（命中 短视频、营销）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）,"[""AI"", ""创业"", ""创业者"", ""短视频"", ""营销"", ""融资""]",[],[],rules
354,靠AI日赚2000万，41岁程序员打造一人公司，奥特曼急着见他,创业邦,2026-04-09,https://www.cyzone.cn/article/829946.html,full_text,relevant,100,73,73,high,case_study,core,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 20.4, ""matched_terms"": [""AI""]}]",9,unknown,estimated,low,{},爱奇清科（北京）信息科技有限公司 地址：北京市朝阳区丽泽西街东湖国际中心A座7层 |网络文化经营许可证（京网文[2018]2153-213号） 京公网安备 11010502035114号,直接命中 OPC 主题词：一人公司；OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI）；存在公司/创业/监管语境,"[""AI"", ""一人公司"", ""公司""]",[],[],rules
397,DeepSeek传筹备IPO，中国AI头部公司融资狂飙,36氪,2026年07月15日 09:36,https://36kr.com/p/3896190110319751,full_text,relevant,85,72,72,high,case_study,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 47.4, ""matched_terms"": [""AI"", ""OpenAI"", ""人工智能"", ""大模型""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 13.0, ""matched_terms"": [""创业"", ""创业者""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 9.0, ""matched_terms"": [""融资""]}]",42,low,article_metrics,high,"{""likes"": 80, ""favorites"": 27, ""comments"": 1}",DeepSeek目标2027年挂牌，最早年底提交上市申请,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、OpenAI、人工智能、大模型）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业、创业者）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）,"[""AI"", ""OpenAI"", ""人工智能"", ""创业"", ""创业者"", ""大模型"", ""融资""]",[],[],rules
728,中国科学家在存储芯片的新突破，有望实现换道超车提升算力计划于今年下半年正式成立初创公司推进成果工程化落地4小时前,第一财经,2026-07-17 09:52:06,https://www.yicai.com/news/103278920.html,full_text,relevant,85,71,71,high,news,operational,"[{""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 25.2, ""matched_terms"": [""初创""]}, {""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 7.0, ""matched_terms"": [""人工智能""]}]",39,low,article_metrics,high,"{""comments"": 10}",计划于今年下半年正式成立初创公司推进成果工程化落地,OPC 关联路径：创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 初创）；AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 人工智能）,"[""人工智能"", ""初创""]",[],[],rules
715,华为昇腾384超节点商用超750套，950超节点“接棒”2026 世界人工智能大会在上海开幕，华为首次公开展出昇腾 950 超节点真机并展示多款国产超节点产品。1小时前,第一财经,2026-07-17 13:22:02,https://www.yicai.com/news/103279562.html,full_text,relevant,85,71,71,high,case_study,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 64.2, ""matched_terms"": [""AI"", ""云服务"", ""人工智能"", ""大模型"", ""智能体""]}]",39,low,article_metrics,high,"{""comments"": 10}",2026 世界人工智能大会在上海开幕，华为首次公开展出昇腾 950 超节点真机并展示多款国产超节点产品。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、云服务、人工智能、大模型、智能体）,"[""AI"", ""云服务"", ""人工智能"", ""大模型"", ""智能体""]",[],[],rules
393,等了两年，国行苹果AI终于通过备案，接入千问,36氪,2026年07月15日 19:58,https://36kr.com/p/3896830991320962,full_text,relevant,85,71,76,high,policy,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 48.4, ""matched_terms"": [""AI"", ""人工智能"", ""大模型"", ""智能体""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 13.0, ""matched_terms"": [""创业"", ""创业者""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 3.0, ""matched_terms"": [""融资""]}]",38,low,article_metrics,high,"{""likes"": 48, ""favorites"": 3, ""comments"": 3}",距离 Apple 智能发布，已经不知不觉过去两年了。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、人工智能、大模型、智能体）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业、创业者）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）,"[""AI"", ""人工智能"", ""创业"", ""创业者"", ""大模型"", ""智能体"", ""融资""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
729,A股AI应用、大消费板块逆势走强，凌云光高开超5%机构认为，短线大概率仍以震荡分化、结构性轮动为主。4小时前,第一财经,2026-07-17 09:36:07,https://www.yicai.com/news/103278950.html,full_text,relevant,85,71,71,high,news,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 26.4, ""matched_terms"": [""AI""]}]",37,low,article_metrics,high,"{""comments"": 7}",机构认为，短线大概率仍以震荡分化、结构性轮动为主。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI）,"[""AI""]",[],[],rules
723,埃森哲曹琦峰：AI使用成本被低估，但资本至少还有三年耐心词元税成为企业新焦虑2小时前,第一财经,2026-07-17 11:53:44,https://www.yicai.com/news/103279221.html,full_text,relevant,85,71,76,high,policy,core,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 26.4, ""matched_terms"": [""AI""]}, {""id"": ""growth_channels"", ""label"": ""获客与增长渠道"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的低成本获客、销售渠道与市场扩张能力"", ""score"": 5.0, ""matched_terms"": [""出海""]}]",37,low,article_metrics,high,"{""comments"": 10}",词元税成为企业新焦虑,直接命中 OPC 主题词：OPC、一人公司；OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI）；获客与增长渠道：影响一人公司的低成本获客、销售渠道与市场扩张能力（命中 出海）；存在公司/创业/监管语境,"[""AI"", ""OPC"", ""一人公司"", ""公司"", ""出海""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
