article_id,title,source,publish_time,url,data_quality,decision,relevance_score,importance_score,confidence,category,core_summary,reason,matched_terms,excluded_terms,action_items,analysis_mode
659,南非最大钻石矿停产,i黑马,2026-07-16T09:37:05.774728,https://www.iheima.com/article-399595.html,title_only,irrelevant,0,0,medium,news,标题信息：南非最大钻石矿停产,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
658,长鑫科技发行价8.66元/股，朱一明身家超300亿元,i黑马,2026-07-16T09:37:05.774221,https://www.iheima.com/article-399596.html,title_only,irrelevant,0,0,medium,news,标题信息：长鑫科技发行价8.66元/股，朱一明身家超300亿元,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
657,苹果起诉OpenAI窃取机密？马斯克嘲讽阿尔特曼！,i黑马,2026-07-16T09:37:05.772719,https://www.iheima.com/article-399597.html,title_only,irrelevant,0,0,medium,news,标题信息：苹果起诉OpenAI窃取机密？马斯克嘲讽阿尔特曼！,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
656,毕马威准备裁员数百人并削减合伙人薪酬,i黑马,2026-07-16T09:37:05.772719,https://www.iheima.com/article-399601.html,title_only,irrelevant,0,0,medium,news,标题信息：毕马威准备裁员数百人并削减合伙人薪酬,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
655,亿航智能回应裁员传闻：基于AI提效背景优化低绩效岗位，核心骨干团队保持稳定,i黑马,2026-07-16T09:37:05.772719,https://www.iheima.com/article-399602.html,title_only,irrelevant,0,0,medium,news,标题信息：亿航智能回应裁员传闻：基于AI提效背景优化低绩效岗位，核心骨干团队保持稳定,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
654,爱诗科技完成 29.8 亿元C 轮融资,i黑马,2026-07-16T09:37:05.772719,https://www.iheima.com/article-399603.html,title_only,irrelevant,0,0,medium,news,标题信息：爱诗科技完成 29.8 亿元C 轮融资,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
653,AI拟人化新规正式落地,i黑马,2026-07-16T09:37:05.771722,https://www.iheima.com/article-399616.html,title_only,irrelevant,0,0,medium,news,标题信息：AI拟人化新规正式落地,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
652,微信宣布治理停车缴费界面违规广告链接,i黑马,2026-07-16T09:37:05.771722,https://www.iheima.com/article-399617.html,title_only,irrelevant,0,0,medium,news,标题信息：微信宣布治理停车缴费界面违规广告链接,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
651,《2026年度“人工智能+”榜单》启动征集，寻找AI时代的领军人物、超级产品、标杆企业和投资机构,i黑马,2026-07-16T09:37:05.771722,https://www.iheima.com/article-399618.html,title_only,irrelevant,0,0,medium,news,标题信息：《2026年度“人工智能+”榜单》启动征集，寻找AI时代的领军人物、超级产品、标杆企业和投资机构,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
650,DeepSeek据悉准备明年在上海上市,i黑马,2026-07-16T09:37:05.770724,https://www.iheima.com/article-399619.html,title_only,irrelevant,0,0,medium,news,标题信息：DeepSeek据悉准备明年在上海上市,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
649,国行苹果AI功能完成备案,i黑马,2026-07-16T09:37:05.770724,https://www.iheima.com/article-399620.html,title_only,irrelevant,0,0,medium,news,标题信息：国行苹果AI功能完成备案,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
648,百度为苹果智能提供AI搜索功能,i黑马,2026-07-16T09:37:05.770724,https://www.iheima.com/article-399621.html,title_only,irrelevant,0,0,medium,news,标题信息：百度为苹果智能提供AI搜索功能,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
647,WAIC世界人工智能大会倒计时1天,i黑马,2026-07-16T09:37:05.769715,https://www.iheima.com/article-399622.html,title_only,irrelevant,0,0,medium,news,标题信息：WAIC世界人工智能大会倒计时1天,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
646,OpenAI回应苹果商业秘密诉讼：诉讼没有事实依据,i黑马,2026-07-16T09:37:05.769715,https://www.iheima.com/article-399623.html,title_only,irrelevant,0,0,medium,news,标题信息：OpenAI回应苹果商业秘密诉讼：诉讼没有事实依据,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
645,阿里巴巴发布实时语音交互对话模型Qwen-Audio-3.0-Realtime,i黑马,2026-07-16T09:37:05.768706,https://www.iheima.com/article-399624.html,title_only,irrelevant,0,0,medium,news,标题信息：阿里巴巴发布实时语音交互对话模型Qwen-Audio-3.0-Realtime,未命中 OPC（一人公司）主题词；原始记录只有标题，不能核实正文细节,[],[],[],rules
